Lot,Description,Brand,Type,Year,Color,Leather,Hardware,Estimate (USD),Lower Estimate (USD),Higher Estimate (USD),Price Realized (USD),Price Category,Variance from Higher Estimate
73,NATURAL SABLE COURCHEVEL LEATHER CONSTANCE 24,HERMES,Constance 24,1995,Beige,Courchevel,Gold,5100−7700,5100,7700,7700,Within Estimate,0
74,CLAY TADELAKT LEATHER ÉGÉE,HERMES,Égée,2012,Gray,Tadelakt,Permabrass,2600−3600,2600,3600,3100,Within Estimate,-500
75,LIMITED EDITION MUSTARD CLEMENCE LEATHER & CANVAS BIRKIN 35,HERMES,"Birkin 35, Limited Edition",2003,Yellow,Clemence & Canvas,Palladium,6400−10200,6400,10200,11300,Above Estimate,1100
76,SESAME MAURICE LEATHER & TERRE BATTUE SWIFT LEATHER 24/24 29,HERMES,24/24 29,2020,Brown,Maurice & Swift,Gold,6400−10200,6400,10200,7300,Within Estimate,-2900
77,LIMITED EDITION GOLD SWIFT LEATHER SHADOW BIRKIN CUT,HERMES,"Birkin Cut, Limited Edition",2023,Gold,Swift,Leather,5100−7700,5100,7700,6800,Within Estimate,-900
78,GOLD SWIFT LEATHER KELLY MOOVE,HERMES,Kelly Moove,2023,Gold,Swift,Gold,7700−12800,7700,12800,12100,Within Estimate,-700
79,GOLD EVERCOLOR LEATHER CONSTANCE TO GO,HERMES,Constance To Go,2023,Gold,Evercolor,Gold,5100−7700,5100,7700,8100,Above Estimate,400
80,MATTE GOLD ALLIGATOR KELLY TO GO,HERMES,Kelly To Go,2023,Gold,Alligator,Gold,9000−14100,9000,14100,14500,Above Estimate,400
81,GOLD SWIFT LEATHER KELLY POCHETTE,HERMES,Kelly Pochette,2007,Gold,Swift,Palladium,6400−10200,6400,10200,14500,Above Estimate,4300
82,MATTE GOLD ALLIGATOR CONSTANCE 24,HERMES,Constance 24,2019,Gold,Alligator,Gold,17900−25600,17900,25600,21000,Within Estimate,-4600
83,GOLD EPSOM LEATHER SELLIER KELLY 25,HERMES,Kelly 25,2024,Gold,Epsom,Palladium,12800−20500,12800,20500,24200,Above Estimate,3700
84,LIMITED EDITION GOLD & DOVE GRAY NOVILLO LEATHER VERSO BIRKIN 25,HERMES,"Birkin 25, Limited Edition",2020,Brown,Novillo,Palladium,10200−15400,10200,15400,19400,Above Estimate,4000
85,GOLD TOGO LEATHER RETOURNÉ KELLY 28,HERMES,Kelly 28,2024,Gold,Togo,Gold,9000−14100,9000,14100,21000,Above Estimate,6900
86,TOFFEE NOVILLO LEATHER KELLY RELAX VOYAGE 50,HERMES,Kelly Relax Voyage,2020,Brown,Novillo,Palladium,6400−10200,6400,10200,8900,Within Estimate,-1300
87,"LIMITED EDITION TEA, PINK & WHITE SWIFT LEATHER LUCKY DAISY MICRO PICOTIN",HERMES,"Picotin, Limited Edition",2022,Pink,Swift,Palladium,2000−3100,2000,3100,2900,Within Estimate,-200
88,GOLDEN BRONZE MADAME LEATHER SELLIER BIRKIN 30,HERMES,Birkin 30,2019,Bronze,Madame,Palladium,12800−20500,12800,20500,16100,Within Estimate,-4400
89,SHINY SHADED SALVATOR LIZARD FLÈCHE D'OR,HERMES,Flèche d'Or,2017,Brown,Lizard,Palladium,6400−10200,6400,10200,5600,Below Estimate,-4600
