Lot,Description,Brand,Type,Year,Color,Leather,Hardware,Estimate (USD),Lower Estimate (USD),Higher Estimate (USD),Price Realized (USD),Price Category,Variance from Higher Estimate
178,BAMBOO & MISTY BLUE SWIFT LEATHER IN THE LOOP BELT BAG,HERMES,In The Loop Belt Bag,2020,Green,Swift,Palladium,2600−3600,2600,3600,2400,Below Estimate,-1200
179,CUSTOM TOSCA & TIN TOGO LEATHER RETOURNÉ KELLY 32,HERMES,"Kelly 32, Custom",2012,Purple,Togo,Palladium,6400−10200,6400,10200,9700,Within Estimate,-500
180,ANEMONE SWIFT LEATHER KELLY POCHETTE,HERMES,Kelly Pochette,2017,Pink,Swift,Palladium,6400−10200,6400,10200,12900,Above Estimate,2700
181,ANEMONE EPSOM LEATHER MINI CONSTANCE,HERMES,Mini Constance,2018,Pink,Epsom,Palladium,6400−10200,6400,10200,8100,Within Estimate,-2100
182,SHINY VIOLET POROSUS CROCODILE SELLIER KELLY 32,HERMES,Sellier Kelly 32,2007,Purple,Crocodile,Palladium,20500−30800,20500,30800,25800,Within Estimate,-5000
183,"LIMITED EDITION ULTRAVIOLET, LINEN BLUE, TIN, DARK BLUE, ÉTOUPE & INDIAN BROWN CLEMENCE LEATHER HARLEQUIN BIRKIN 35",HERMES,"Harlequin Birkin 35, Limited Edition",2012,Purple,Clemence,Palladium,7700−12800,7700,12800,0,No Sale,-12800
184,SHINY EGGPLANT POROSUS CROCODILE KELLY CUT,HERMES,Kelly Cut,2015,Purple,Crocodile,Palladium,12800−20500,12800,20500,22600,Above Estimate,2100
185,SHINY AMETHYST NILOTICUS CROCODILE SELLIER KELLY 25,HERMES,Sellier Kelly 25,2015,Purple,Crocodile,Palladium,23100−33300,23100,33300,25800,Within Estimate,-7500
186,LIMITED EDITION RUBY & SHOCKING PINK TADELAKT LEATHER ECLAT KELLY CUT,HERMES,"Kelly Cut, Limited Edition",2010,Red,Tadelakt,Palladium,6400−10200,6400,10200,12900,Above Estimate,2700
187,RUBY TOGO LEATHER SO KELLY 26,HERMES,So Kelly 26,2010,Red,Togo,Palladium,3800−5100,3800,5100,3900,Within Estimate,-1200
188,CUSTOM RUBY & SLATE SWIFT LEATHER RETOURNÉ KELLY 28,HERMES,"Kelly 28, Custom",2013,Red,Swift,Palladium,7700−12800,7700,12800,8900,Within Estimate,-3900
189,LIMITED EDITION ROUGE H & CASAQUE RED EPSOM LEATHER MINI KELLY CASAQUE 20 II,HERMES,"Mini Kelly Casaque 20 II, Limited Edition",2024,Red,Epsom,Palladium,15400−23100,15400,23100,25800,Above Estimate,2700
190,CASAQUE RED SWIFT LEATHER MINI CONSTANCE,HERMES,Mini Constance,2015,Red,Swift,Palladium,6400−10200,6400,10200,6100,Below Estimate,-4100
191,CUSTOM CASAQUE RED OSTRICH BIRKIN 30,HERMES,"Birkin 30, Custom",2008,Red,Ostrich,Palladium,10200−15400,10200,15400,14500,Within Estimate,-900
192,CASAQUE RED EPSOM LEATHER SELLIER KELLY 32,HERMES,Kelly 32,2018,Red,Epsom,Gold,7700−12800,7700,12800,14500,Above Estimate,1700
193,"LIMITED EDITION HEART RED, EXTREME PINK & BLUE ZANZIBAR KELLY CASAQUE TO GO",HERMES,"Kelly Casaque To Go, Limited Edition",2020,Red,Tadelakt,Palladium,5100−7700,5100,7700,6100,Within Estimate,-1600
194,CUSTOM HEART RED & CAPUCINE GOATSKIN LEATHER MINI KELLY 20 II,HERMES,"Mini Kelly 20 II, Custom",2023,Red,Goat,Permabrass,15400−23100,15400,23100,27500,Above Estimate,4400
195,PIMENT RED TADELAKT LEATHER MINI VERROU 17,HERMES,Mini Verrou 17,2018,Red,Tadelakt,Palladium,5100−7700,5100,7700,6100,Within Estimate,-1600
196,CUSTOM VIVID RED & INDIGO BLUE OSTRICH BIRKIN 25,HERMES,"Birkin 25, Custom",2019,Red,Ostrich,Brushed Gold,12800−20500,12800,20500,16100,Within Estimate,-4400
197,GRENAT RED CLEMENCE LEATHER BIRKIN 25,HERMES,Birkin 25,2012,Red,Clemence,Palladium,7700−12800,7700,12800,12100,Within Estimate,-700
198,BOUGAINVILLEA CLEMENCE LEATHER JPG SHOULDER BIRKIN 42,HERMES,JPG Shoulder Birkin 42,2010,Pink,Clemence,Palladium,3800−5100,3800,5100,6100,Above Estimate,1000
199,PEONY PINK CLEMENCE LEATHER SO KELLY 22,HERMES,So Kelly 22,2014,Red,Clemence,Palladium,3800−5100,3800,5100,3900,Within Estimate,-1200
200,BRICK CHAMONIX LEATHER DRAG 37,HERMES,Drag 37,2000,Brown,Chamonix,Palladium,1300−2300,1300,2300,2700,Above Estimate,400
201,ROUGE H SWIFT LEATHER BIRKIN 25,HERMES,Birkin 25,2018,Red,Swift,Gold,7700−12800,7700,12800,17700,Above Estimate,4900
202,MATTE ROUGE H POROSUS CROCODILE SELLIER KELLY 35,HERMES,Kelly 35,2015,Red,Crocodile,Palladium,17900−25600,17900,25600,22600,Within Estimate,-3000
203,ORANGE H SWIFT LEATHER MINI JYPSIÈRE,HERMES,Mini Jypsière,2023,Orange,Swift,Palladium,5100−7700,5100,7700,6100,Within Estimate,-1600
204,ORANGE SWIFT LEATHER JYPSIÈRE 28,HERMES,Jypsière 28,2010,Orange,Swift,Palladium,2600−3600,2600,3600,3100,Within Estimate,-500
205,ORANGE EPSOM LEATHER BOLIDE 27,HERMES,Bolide 27,2015,Orange,Epsom,Palladium,5100−7700,5100,7700,0,No Sale,-7700
206,ORANGE H CLEMENCE LEATHER JPG SHOULDER KELLY 42,HERMES,JPG Shoulder Kelly 42,2011,Orange,Clemence,Palladium,5100−7700,5100,7700,6500,Within Estimate,-1200
207,LIMITED EDITION ORANGE & SUN SWIFT LEATHER QUELLE IDOLE,HERMES,"Quelle Idole, Limited Edition",2010,Orange,Swift,Palladium,19200−28200,19200,28200,42000,Above Estimate,13800
208,LIMITED EDITION CAPUCINE EPSOM LEATHER MINI CONSTANCE,HERMES,"Mini Constance, Limited Edition",2020,Orange,Epsom,Enamel,6400−10200,6400,10200,9700,Within Estimate,-500
209,FIRE TOGO LEATHER BIRKIN 30,HERMES,Birkin 30,2015,Orange,Togo,Gold,6400−10200,6400,10200,9700,Within Estimate,-500
210,LIMITED EDITION GOLDEN CHAMKILIGHT GOATSKIN LEATHER MINI CONSTANCE MIRROR,HERMES,"Mini Constance Mirror, Limited Edition",2024,Gold,Goat,Permabrass,15400−23100,15400,23100,21000,Within Estimate,-2100
223,FAWN CALF LEATHER LES NÉCESSAIRES D'HERMÈS OTTOMAN,HERMES,Les Nécessaires d'Hermès Ottoman,2023,Brown,Calf,Silver,5100−7700,5100,7700,7300,Within Estimate,-400
225,BRONZE QUILTED AGED LAMBSKIN LEATHER WALLET ON CHAIN,CHANEL,Wallet on Chain,2008,Bronze,Lambskin,Antique Silver,2000−3100,2000,3100,1800,Below Estimate,-1300
226,METALLIC GOLD QUILTED LAMBSKIN LEATHER 2.55 REISSUE 226,CHANEL,2.55 Reissue 226,2006,Gold,Lambskin,Gold,2000−3100,2000,3100,2100,Within Estimate,-1000
227,METALLIC GOLD LAMBSKIN LEATHER WALLET ON CHAIN,CHANEL,Wallet on Chain,2006,Gold,Lambskin,Silver,2000−3100,2000,3100,1200,Below Estimate,-1900
228,METALLIC SILVER CAMELLIA POCHETTE,CHANEL,Camellia Pochette,2014,Silver,Metal,Silver,2000−3100,2000,3100,0,No Sale,-3100
229,SILVER QUILTED LAMBSKIN LEATHER WALLET ON CHAIN,CHANEL,Wallet on Chain,2008,Silver,Lambskin,Silver,2000−3100,2000,3100,1300,Below Estimate,-1800
230,METALLIC SILVER LAMBSKIN LEATHER WALLET ON CHAIN,CHANEL,Wallet on Chain,2006,Silver,Lambskin,Silver,2000−3100,2000,3100,1100,Below Estimate,-2000
231,METALLIC PURPLE CAVIAR LEATHER MEDIUM BOY BAG,CHANEL,Medium Boy Bag,2015,Purple,Caviar,Iridescent,2600−3800,2600,3800,0,No Sale,-3800
232,BLUE QUILTED SATIN & METALLIC GOLD LAMBSKIN LEATHER WALLET ON CHAIN,CHANEL,Wallet on Chain,2012,Blue,Satin & Lambskin,Gold,2000−3100,2000,3100,0,No Sale,-3100
233,MATTE BLUE ALLIGATOR JUMBO DOUBLE CLASSIC FLAP BAG,CHANEL,Jumbo Double Classic Flap Bag,2014,Blue,Alligator,Gold,5100−7700,5100,7700,15300,Above Estimate,7600
234,BLUE QUILTED CALFSKIN LEATHER MEDIUM CLASSIC DOUBLE FLAP BAG,CHANEL,Medium Classic Double Flap Bag,2015,Blue,Calfskin,Gold,3800−5100,3800,5100,5200,Above Estimate,100
235,BLUE QUILTED LAMSKIN LEATHER MINI CLASSIC FLAP BAG,CHANEL,Mini Classic Flap Bag,2022,Blue,Lambskin,Silver,2600−3600,2600,3600,4200,Above Estimate,600
236,BLUE QUILTED PATENT LEAHTER MEDIUM BOY BAG,CHANEL,Medium Boy Bag,2016,Blue,Patent,Gold,2600−3600,2600,3600,2700,Within Estimate,-900
237,GREY TWEED CRYSTAL JUMBO FLAP BAG,CHANEL,Jumbo Flap Bag,2011,Gray,Tweed,Silver,2600−3800,2600,3800,2300,Below Estimate,-1500
238,WHITE QUILTED COATED TWEED WALLET ON CHAIN,CHANEL,Wallet on Chain,2012,White,Tweed,Silver,2000−3100,2000,3100,0,No Sale,-3100
239,GREY QUILTED LAMBSKIN LEATHER WALLET ON CHAIN,CHANEL,Wallet on Chain,2009,Gray,Lambskin,Silver,2000−3100,2000,3100,0,No Sale,-3100
240,DARK SILVER CALFSKIN LEATHER HALF MOON CLUTCH,CHANEL,Half Moon Clutch,2011,Silver,Calfskin,Silver,1500−2300,1500,2300,0,No Sale,-2300
241,BLACK QUILTED CALFSKIN LEATHER VANITY CASE,CHANEL,Vanity Case,1997,Black,Calfskin,Gold,2000−3100,2000,3100,1900,Below Estimate,-1200
242,BLACK QUILTED LAMBSKIN LEATHER TOP HANDLE VANITY CASE,CHANEL,Top Handle Vanity Case,2024,Black,Lambskin,Gold,3800−5100,3800,5100,4800,Within Estimate,-300
243,BLACK QUILTED LAMBSKIN LEATHER MINI TOP HANDLE CHAIN CLUTCH,CHANEL,Mini Top Handle Chain Clutch,2024,Black,Lambskin,Gold,3300−4400,3300,4400,4800,Above Estimate,400
244,BLACK QUILTED CAVIAR LEATHER MEDIUM CLASSIC DOUBLE FLAP BAG,CHANEL,Medium Classic Double Flap Bag,2016,Black,Caviar,Silver,3800−5100,3800,5100,6100,Above Estimate,1000
245,BLACK QUILTED LAMBSKIN LEATHER MAXI CLASSIC DOUBLE FLAP BAG,CHANEL,Maxi Classic Double Flap Bag,2018,Black,Lambskin,Silver,3800−5100,3800,5100,5600,Above Estimate,500
246,RED QUILTED LAMBSKIN LEATHER FLAP BAG,CHANEL,Flap Bag,1989,Red,Lambskin,Gold,2000−3100,2000,3100,2600,Within Estimate,-500
247,RED QUILTED PATENT LEATHER WALLET ON CHAIN,CHANEL,Wallet on Chain,2013,Red,Patent,Silver,2000−3100,2000,3100,1100,Below Estimate,-2000
248,PINK CAVIAR LEATHER TIMELESS WALLET ON CHAIN,CHANEL,Timeless Wallet on Chain,1996,Pink,Caviar,Gold,2000−3100,2000,3100,1500,Below Estimate,-1600
249,PINK QUILTED CAVIAR LEATHER MEDIUM CLASSIC DOUBLE FLAP BAG,CHANEL,Medium Classic Double Flap Bag,2021,Pink,Caviar,Gold,3800−5100,3800,5100,8100,Above Estimate,3000
250,NUDE QUILTED LAMBSKIN LEATHER MEDIUM BOY BAG,CHANEL,Medium Boy Bag,2016,Beige,Lambskin,Gold,2600−3600,2600,3600,4800,Above Estimate,1200
251,BEIGE PYTHON JUMBO CLASSIC DOUBLE FLAP BAG,CHANEL,Jumbo Classic Double Flap Bag,2011,Beige,Python,Gold,2000−3100,2000,3100,3900,Above Estimate,800
252,YELLOW TUFFETAGE MONOGRAM SPEEDY TRUNK,LOUIS VUITTON,Speedy Trunk,2020,Yellow,Tuffetage,Black,2000−3100,2000,3100,2400,Within Estimate,-700
253,LIMITED EDITION ICONOCLAST MONOGRAM CANVAS TWISTED BOX BY FRANK GEHRY,LOUIS VUITTON,"Twisted Box, Limited Edition",2015,Brown,Canvas,Gold,3800−5100,3800,5100,6100,Above Estimate,1000
254,LIMITED EDITION PAINTED PUMPKIN MONOGRAM KEEPALL BANDOULIÈRE 45 BY YAYOI KUSAMA,LOUIS VUITTON,"Keepall Bandoulière 45, Limited Edition",2023,Multi Color,Canvas,Gold,2600−3600,2600,3600,4800,Above Estimate,1200
256,LIMITED EDITION BLACK TAURILLON LEATHER INFINITY DOTS CHRISTOPHER BACKPACK MM BY YAYOI KUSAMA,LOUIS VUITTON,"Christopher Backpack MM, Limited Edition",2023,Black,Taurillon,Black,3800−5100,3800,5100,3500,Below Estimate,-1600
257,ABSOLUTE BLACK MONOGRAM TAURILLON LEATHER KEEPALL BANDOULIÈRE 50 BY VIRGIL ABLOH,LOUIS VUITTON,Keepall Bandoulière 50,2019,Black,Taurillon,Black & Orange,2600−3600,2600,3600,4200,Above Estimate,600
258,LIMITED EDITION BLACK EMPREINTE LEATHER TOTE BAG BY COMME DES GARÇONS,LOUIS VUITTON,"Tote Bag, Limited Edition",2008,Black,Empreinte,Black,3800−5100,3800,5100,4800,Within Estimate,-300
259,LIMITED EDITION PAINTED MONOGRAM COURRIER LOZINE TRUNK 110 BY VIRGIL ABLOH,LOUIS VUITTON,"Courrier Lozine Trunk 110, Limited Edition",2021,Multi Color,Canvas,Black,38400−51200,38400,51200,48400,Within Estimate,-2800
