Lot,Brand,Description,Year,Color,Leather,Hardware,Estimate (USD),Price Realized (USD)
76,HERMÈS,SESAME MAURICE LEATHER & TERRE BATTUE SWIFT LEATHER 24/24 29,2020,Brown,Maurice & Swift,Gold,"6,400−10,200",7300
77,HERMÈS,LIMITED EDITION GOLD SWIFT LEATHER SHADOW BIRKIN CUT,2023,Gold,Swift,Leather,"5,100−7,700",6800
78,HERMÈS,GOLD SWIFT LEATHER KELLY MOOVE,2023,Gold,Swift,Gold,"7,700−12,800",12100
79,HERMÈS,GOLD EVERCOLOR LEATHER CONSTANCE TO GO,2023,Gold,Evercolor,Gold,"5,100−7,700",8100
80,HERMÈS,MATTE GOLD ALLIGATOR KELLY TO GO,2023,Gold,Alligator,Gold,"9,000−14,100",14500
81,HERMÈS,GOLD SWIFT LEATHER KELLY POCHETTE,2007,Gold,Swift,Palladium,"6,400−10,200",14500
82,HERMÈS,MATTE GOLD ALLIGATOR CONSTANCE 24,2019,Gold,Alligator,Gold,"17,900−25,600",21000
83,HERMÈS,GOLD EPSOM LEATHER SELLIER KELLY 25,2024,Gold,Epsom,Palladium,"12,800−20,500",24200
84,HERMÈS,LIMITED EDITION GOLD & DOVE GRAY NOVILLO LEATHER VERSO BIRKIN 25,2020,Brown,Novillo,Palladium,"10,200−15,400",19400
85,HERMÈS,GOLD TOGO LEATHER RETOURNÉ KELLY 28,2024,Gold,Togo,Gold,"9,000−14,100",21000
86,HERMÈS,TOFFEE NOVILLO LEATHER KELLY RELAX VOYAGE 50,2020,Brown,Novillo,Palladium,"6,400−10,200",8900
87,HERMÈS,"LIMITED EDITION TEA, PINK & WHITE SWIFT LEATHER LUCKY DAISY MICRO PICOTIN",2022,Pink,Swift,Palladium,"2,000−3,100",2900
88,HERMÈS,GOLDEN BRONZE MADAME LEATHER SELLIER BIRKIN 30,2019,Bronze,Madame,Palladium,"12,800−20,500",16100
89,HERMÈS,SHINY SHADED SALVATOR LIZARD FLÈCHE D'OR,2017,Brown,Lizard,Palladium,"6,400−10,200",5600
90,HERMÈS,SHINY SHADED SALVATOR LIZARD & DARK GREEN MINI VERSO MOSAÏQUE 17,2019,Grey,Lizard,Palladium,"6,400−10,200",0
91,HERMÈS,LIMITED EDITION SHINY SHADED SALVATOR LIZARD & CARAMEL EVERCOLOR MINI ROULIS,2020,Brown,Lizard & Evercolor,Permabrass,"7,700−12,800",8900
92,HERMÈS,LIMITED EDITION SHINY SHADED SALVATOR LIZARD & MATTE TITIAN GREEN ALLIGATOR,2017,Green,Lizard & Alligator,Palladium,"9,000−14,100",9700
93,HERMÈS,COFFEE CLEMENCE LEATHER BIRKIN 30,2015,Brown,Clemence,Gold,"6,400−10,200",12100
94,HERMÈS,DARK BROWN OSTRICH BIRKIN 30,2007,Brown,Ostrich,Palladium,"10,200−15,400",17700
95,HERMÈS,CHOCOLATE BOX CALF LEATHER RETOURNÉ KELLY 32,1993,Brown,Box Calf,Gold,"5,100−7,700",7300
96,HERMÈS,MATTE EBONY NILOTICUS CROCODILE PLUME 28,2002,Black,Crocodile,Gold,"6,400−10,200",9700
97,HERMÈS,MATTE EBONY NILOTICUS CROCODILE BIRKIN 30,2011,Black,Crocodile,Palladium,"17,900−25,600",21000
98,HERMÈS,"PETIT H LIMITED EDITION MATTE EBONY ALLIGATOR, EBONY SOMBRERO & ANISE GREEN",2021,Black,Swift & Velours,Goose Clasp,"3,800−5,100",4800
99,HERMÈS,LIMITED EDITION EBONY SWIFT LEATHER & VELOURS COTELE ROULIS 23,2020,Black,,Gold,"3,800−5,100",4200
100,HERMÈS,LIMITED EDITION EMBROIDERED LEOPARD & BLACK SWIFT LEATHER MINI ROULIS,2021,Black,Swift,Palladium,"5,100−7,700",6100
101,HERMÈS,LIMITED EDITION SHINY BLACK NILOTICUS CROCODILE SO BLACK GOODLOCK CLUTCH,2016,Black,Crocodile,Black PVD,"5,100−7,700",0
102,HERMÈS,MATTE BLACK ALLIGATOR VERROU CLUTCH,2010,Black,Alligator,Palladium,"5,100−7,700",7300
103,HERMÈS,LIMITED EDITION BLACK SWIFT LEATHER & ALEZAN CALF DOBLIS MINI BERLINE 21,2014,Black,Swift & Doblis,Palladium,"2,600−3,600",3500
104,HERMÈS,BLACK CLEMENCE LEATHER PICOTIN 22,2024,Black,Clemence,Palladium,"2,600−3,600",4200
105,HERMÈS,BLACK SWIFT LEATHER KELLY JUMP,2024,Black,Swift,Palladium,"7,700−12,800",15300
106,HERMÈS,LIMITED EDITION BLACK MONSIEUR LEATHER SAC A MALICE,2021,Black,Monsieur,Palladium,"7,700−12,800",8100
107,HERMÈS,LIMITED EDITION BLACK CALF BOX LEATHER CLOUTÉ MINI KELLY 20 II,2023,Black,Box Calf,Palladium,"38,400−51,200",0
108,HERMÈS,LIMITED EDITION SHINY BLACK POROSUS CROCODILE & FEATHERS KELLY ÉLAN FOLIE,2024,Black,Crocodile,Gold,"25,600−35,900",45200
109,HERMÈS,BLACK EPSOM LEATHER CONSTANCE 24,2014,Black,Epsom,Gold,"6,400−10,200",10500
110,HERMÈS,SHINY BLACK NILOTICUS CROCODILE ROULIS 23,2019,Black,Crocodile,Gold,"7,700−12,800",11300
111,HERMÈS,LIMITED EDITION SHINY BLACK NILOTICUS LIZARD & SWIFT LEATHER MINI TOUCH 24/24,2022,Black,Lizard & Swift,Gold,"3,800−5,100",14500
112,HERMÈS,LIMITED EDITION BLACK TADELAKT LEATHER & SHINY BLACK NILOTICUS LIZARD SMILE BOLIDE,2019,Black,Tadelakt & Lizard,Palladium,"6,400−10,200",12100
113,HERMÈS,BLACK TOGO LEATHER RETOURNÉ KELLY 25,2012,Black,Togo,Palladium,"5,100−7,700",15300
114,HERMÈS,LIMITED EDITION BLACK SWIFT LEATHER SELLIER PADDED KELLY 25,2022,Black,Swift,Gold,"12,800−20,500",24200
115,HERMÈS,BLACK EPSOM LEATHER SELLIER KELLY 28,2016,Black,Epsom,Gold,"7,700−12,800",13700
116,HERMÈS,BLACK CALF BOX LEATHER SELLIER KELLY 32,2017,Black,Box Calf,Gold,"6,400−10,200",14500
117,HERMÈS,BLACK CLEMENCE LEATHER BIRKIN 35,2008,Black,Clemence,Palladium,"7,700−12,800",13700
118,HERMÈS,MATTE BLACK POROSUS CROCODILE BIRKIN 35,2007,Black,Crocodile,Palladium,"28,200−38,400",30700
119,HERMÈS,BLACK CALF BOX LEATHER RETOURNÉ KELLY 40,2009,Black,Box Calf,Palladium,"3,800−5,100",9700
120,HERMÈS,CUSTOM BLACK TOGO LEATHER KELLY ADO 28,2018,Black,Togo,Palladium,"5,100−7,700",14500
121,HERMÈS,BLACK EVERCALF LEATHER & TOILE HAC BIRKIN 40,2016,Black,Evercalf & Toile,Palladium,"6,400−10,200",8100
122,HERMÈS,MATTE GRAPHITE ALLIGATOR MINI CONSTANCE,2017,Gray,Alligator,Gold,"15,400−23,100",24200
123,HERMÈS,GRAPHITE EPSOM LEATHER KELLY DÉPÊCHES 38,2007,Gray,Epsom,Palladium,"5,100−7,700",5600
124,HERMÈS,PARCHMENT CLEMENCE LEATHER JPG SHOULDER BIRKIN 42,2008,Beige,Clemence,Palladium,"3,800−5,100",5600
125,HERMÈS,PARCHMENT CALF BOX LEATHER SELLIER KELLY 28,1993,Beige,Box Calf,Gold,"6,400−10,200",8900
126,HERMÈS,SHINY PARCHMENT NILOTICUS LIZARD KELLY POCHETTE,2007,Beige,Lizard,Palladium,"12,800−20,500",29100
127,HERMÈS,"LIMITED EDITION IVORY, SYLVESTER MAUVE & LIME EPSOM LEATHER KELLYDOLE PICTO",2023,Beige,Epsom,Palladium,"38,400−51,200",88800
128,HERMÈS,LIMITED EDITION IVORY CLEMENCE LEATHER MAXI QUADRILLE MINI LINDY,2022,White,Clemence,Palladium,"6,400−10,200",9700
129,HERMÈS,IVORY EPSOM LEATHER CONSTANCE 1-24,2022,White,Epsom,Gold,"7,700−12,800",11300
130,HERMÈS,CUSTOM IVORY & PEARL GRAY GOATSKIN LEATHER MINI KELLY 20 II,2022,White,Goat,Permabrass,"17,900−25,600",27500
131,HERMÈS,LIMITED EDITION IVORY SWIFT LEATHER IN & OUT RETOURNÉ KELLY 25,2021,White,Swift,Palladium,"15,400−23,100",19400
132,HERMÈS,LIMITED EDITION IVORY CANVAS & SWIFT LEATHER CARGO BIRKIN 35,2021,White,Swift & Canvas,Palladium,"20,500−30,800",29100
134,HERMÈS,CHALK TOGO LEATHER RETOURNÉ KELLY 28,2019,Beige,Togo,Palladium,"9,000−14,100",16100
135,HERMÈS,CHALK EPSOM LEATHER CONSTANCE 24,2017,Beige,Epsom,Gold,"6,400−10,200",8100
136,HERMÈS,CHALK TOGO LEATHER BIRKIN 25,2024,Beige,Togo,Gold,"12,800−20,500",22600
137,HERMÈS,CHALK EPSOM LEATHER BIRKIN 30,2018,Beige,Epsom,Gold,"7,700−12,800",10500
138,HERMÈS,CONCRETE EVERCOLOR LEATHER MINI JYPSIÈRE,2023,Gray,Evercolor,Palladium,"5,100−7,700",6100
139,HERMÈS,MATTE CONCRETE ALLIGATOR VERROU 23,2018,Gray,Alligator,Palladium,"5,100−7,700",9700
140,HERMÈS,CUSTOM CONCRETE & ASHALT GRAY TOGO LEATHER RETOURNÉ KELLY 28,2019,Gray,Togo,Gold,"7,700−12,800",12900
141,HERMÈS,LIMITED EDITION CONCRETE TOGO & SWIFT LEATHER 3 IN 1 BIRKIN 30,2023,Gray,Togo & Swift,Palladium,"12,800−20,500",21000
142,HERMÈS,"RARE, MATTE CONCRETE ALLIGATOR, WHITE TOGO, SWIFT & SOMBRERO BIRKIN 20",2022,White,Alligator & Togo,Palladium,"153,600−281,600",274600
143,HERMÈS,"RARE, MATTE WHITE HIMALAYA NILOTICUS CROCODILE BIRKIN 25",2014,White,Crocodile,Palladium,"128,000−230,400",113000
144,HERMÈS,NEW WHITE SWIFT LEATHER KELLY POCHETTE,2022,White,Swift,Gold,"7,700−12,800",25800
145,HERMÈS,LIMITED EDITION WHITE & KRAFT EVERCOLOR LEATHER VERSO KELLY DANSE,2023,White,Evercolor,Gold,"7,700−12,800",13700
146,HERMÈS,WHITE CLEMENCE LEATHER BIRKIN 35,2010,White,Clemence,Palladium,"6,400−10,200",8900
147,HERMÈS,"CUSTOM WHITE, DARK BLUE & PEARL GRAY CLEMENCE LEATHER BIRKIN 30",2011,White,Clemence,Palladium,"9,000−14,100",15300
148,HERMÈS,LIMITED EDITION PLATINUM GRAY & WHITE EPSOM LEATHER BOLIDE ON WHEELS,2024,White,Epsom,Palladium,"10,200−15,400",22600
149,HERMÈS,PALE GRAY EPSOM LEATHER MINI CONSTANCE MIRROR,2023,Gray,Epsom,Gold,"7,700−12,800",12100
150,HERMÈS,PEARL GRAY OSTRICH MINI LINDY,2021,Gray,Ostrich,Palladium,"10,200−15,400",15300
151,HERMÈS,CUSTOM MATTE PEARL GRAY & OREGANO ALLIGATOR MINI KELLY 20 II,2021,Grey,Alligator,Gold,"38,400−51,200",48400
152,HERMÈS,PEARL GRAY EVERCOLOR LEATHER RETOURNÉ KELLY 28,2020,Gray,Evercolor,Gold,"7,700−12,800",14500
