Lot,Brand,Description,Year,Color,Leather,Hardware,Estimate (USD),Price Realized (USD)
234,CHANEL,BLUE QUILTED CALFSKIN LEATHER MEDIUM CLASSIC DOUBLE FLAP BAG,2015,Blue,Calfskin,Gold,"3,800−5,100",5200
235,CHANEL,BLUE QUILTED LAMSKIN LEATHER MINI CLASSIC FLAP BAG,2022,Blue,Lambskin,Silver,"2,600−3,600",4200
236,CHANEL,BLUE QUILTED PATENT LEAHTER MEDIUM BOY BAG,2016,Blue,Patent,Gold,"2,600−3,600",2700
237,CHANEL,GREY TWEED CRYSTAL JUMBO FLAP BAG,2011,Gray,Tweed,Silver,"2,600−3,800",2300
238,CHANEL,WHITE QUILTED COATED TWEED WALLET ON CHAIN,2012,White,Tweed,Silver,"2,000−3,100",0
239,CHANEL,GREY QUILTED LAMBSKIN LEATHER WALLET ON CHAIN,2009,Gray,Lambskin,Silver,"2,000−3,100",0
240,CHANEL,DARK SILVER CALFSKIN LEATHER HALF MOON CLUTCH,2011,Silver,Calfskin,Silver,"1,500−2,300",0
241,CHANEL,BLACK QUILTED CALFSKIN LEATHER VANITY CASE,1997,Black,Calfskin,Gold,"2,000−3,100",1900
242,CHANEL,BLACK QUILTED LAMBSKIN LEATHER TOP HANDLE VANITY CASE,2024,Black,Lambskin,Gold,"3,800−5,100",4800
243,CHANEL,BLACK QUILTED LAMBSKIN LEATHER MINI TOP HANDLE CHAIN CLUTCH,2024,Black,Lambskin,Gold,"3,300−4,400",4800
244,CHANEL,BLACK QUILTED CAVIAR LEATHER MEDIUM CLASSIC DOUBLE FLAP BAG,2016,Black,Caviar,Silver,"3,800−5,100",6100
245,CHANEL,BLACK QUILTED LAMBSKIN LEATHER MAXI CLASSIC DOUBLE FLAP BAG,2018,Black,Lambskin,Silver,"3,800−5,100",5600
246,CHANEL,RED QUILTED LAMBSKIN LEATHER FLAP BAG,1989,Red,Lambskin,Gold,"2,000−3,100",2600
247,CHANEL,RED QUILTED PATENT LEATHER WALLET ON CHAIN,2013,Red,Patent,Silver,"2,000−3,100",1100
248,CHANEL,PINK CAVIAR LEATHER TIMELESS WALLET ON CHAIN,1996,Pink,Caviar,Gold,"2,000−3,100",1500
249,CHANEL,PINK QUILTED CAVIAR LEATHER MEDIUM CLASSIC DOUBLE FLAP BAG,2021,Pink,Caviar,Gold,"3,800−5,100",8100
250,CHANEL,NUDE QUILTED LAMBSKIN LEATHER MEDIUM BOY BAG,2016,Beige,Lambskin,Gold,"2,600−3,600",4800
251,CHANEL,BEIGE PYTHON JUMBO CLASSIC DOUBLE FLAP BAG,2011,Beige,Python,Gold,"2,000−3,100",3900
252,LOUIS VUITTON,YELLOW TUFFETAGE MONOGRAM SPEEDY TRUNK,2020,Yellow,Tuffetage,Black,"2,000−3,100",2400
253,LOUIS VUITTON,LIMITED EDITION ICONOCLAST MONOGRAM CANVAS TWISTED BOX BY FRANK GEHRY,2015,Brown,Canvas,Gold,"3,800−5,100",6100
254,LOUIS VUITTON,LIMITED EDITION PAINTED PUMPKIN MONOGRAM KEEPALL BANDOULIÈRE 45 BY YAYOI KUSAMA,2023,Multi Color,Canvas,Gold,"2,600−3,600",4800
256,LOUIS VUITTON,LIMITED EDITION BLACK TAURILLON LEATHER INFINITY DOTS CHRISTOPHER BACKPACK MM BY YAYOI KUSAMA,2023,Black,Taurillon,Black,"3,800−5,100",3500
257,LOUIS VUITTON,ABSOLUTE BLACK MONOGRAM TAURILLON LEATHER KEEPALL BANDOULIÈRE 50 BY VIRGIL ABLOH,2019,Black,Taurillon,Black & Orange,"2,600−3,600",4200
258,LOUIS VUITTON,LIMITED EDITION BLACK EMPREINTE LEATHER TOTE BAG BY COMME DES GARÇONS,2008,Black,Empreinte,Black,"3,800−5,100",4800
259,LOUIS VUITTON,LIMITED EDITION PAINTED MONOGRAM COURRIER LOZINE TRUNK 110 BY VIRGIL ABLOH,2021,Multi Color,Canvas,Black,"38,400−51,200",48400
